基金代码,基金名称,一级分类,二级分类,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
001712,东方红优势精选混合,混合型,混合型-灵活,95.4253,95.3452,96.1481,95.6223,93.1963,89.8196,82.43151519556703,78.56874027295582
001631,天弘中证食品饮料ETF联接A,指数型,指数型-股票,97.052,95.0744,96.1414,95.0323,93.973,91.2085,87.33223521061723,75.25237938465222
121006,国投瑞银稳健增长混合,混合型,混合型-偏股,95.4642,96.4197,96.1399,93.2466,91.2487,90.2736,83.88715132287801,76.21730216688614
161715,招商大宗商品(LOF),指数型,指数型-股票,94.6965,95.6004,96.1316,92.4898,90.2756,88.1044,84.53939773562963,78.72119298455644
169101,东方红睿丰混合,混合型,混合型-灵活,95.563,96.1556,96.1174,94.2547,92.0062,89.5392,83.04592233756905,76.63679965281935
090004,大成精选增值混合A,混合型,混合型-灵活,96.7691,96.9704,96.1092,94.316,92.5072,89.4743,84.62239828290947,76.48782623009697
001632,天弘中证食品饮料ETF联接C,指数型,指数型-股票,97.055,95.019,96.0983,94.9962,93.9408,91.1743,87.29001342545878,75.17104633065965
002229,华夏经济转型股票,股票型,股票型,95.566,95.5959,96.0677,94.9859,92.4065,89.8615,85.23910357271127,76.10899527116007
001047,光大国企改革股票A,股票型,股票型,95.75,96.0867,96.0445,94.3254,92.0875,89.6551,84.16244805117067,75.25230456123549
000457,摩根核心成长股票A,股票型,股票型,96.9637,97.156,96.0332,93.8368,91.1475,89.1419,84.5575156915394,78.21463845325033
121005,国投瑞银创新动力混合,混合型,混合型-偏股,96.2828,96.8604,96.0302,93.1696,91.3351,88.6171,81.07945605513844,71.68487369807255
163407,兴全沪深300指数(LOF)A,指数型,指数型-股票,93.9498,95.2218,96.0254,94.6679,93.0664,89.456,84.18724666928905,75.62413953070754
020026,国泰成长优选混合,混合型,混合型-偏股,97.2884,97.3498,95.9827,94.1638,91.2704,89.4552,83.34398676266868,74.74466509038669
630016,华商价值共享混合发起式,混合型,混合型-灵活,98.1623,94.7871,95.9696,92.7954,90.7699,89.6742,84.53971840741565,78.59234706093619
002334,汇丰晋信大盘波动股票A,股票型,股票型,93.3362,95.1178,95.9528,94.1791,92.0105,87.7905,83.6612914949291,75.45975248413744
162607,景顺长城资源垄断混合(LOF)A,混合型,混合型-偏股,98.1055,97.8361,95.9423,94.2077,91.6627,88.8283,84.15961545039421,75.27116006225307
519606,国泰金鑫股票A,股票型,股票型,97.3976,97.3976,95.9416,95.6004,92.3083,90.2888,85.12291349557901,79.67014096731712
160620,鹏华中证A股资源产业指数(LOF)A,指数型,指数型-股票,93.8465,94.9352,95.9416,92.5637,90.6007,88.0848,84.7303577842007,79.42655333413146
519195,万家品质生活混合A,混合型,混合型-灵活,89.9782,93.6325,95.933,94.1855,91.4951,89.6018,85.9282806861521,79.28914012929486
000619,东方红产业升级混合,混合型,混合型-灵活,96.8305,96.5282,95.9255,95.9631,93.2366,90.3183,85.34145131774726,76.92157757691847
001053,南方创新经济,混合型,混合型-灵活,97.2315,96.8724,95.8911,94.2622,91.9998,90.7788,83.5161340664603,77.50654704896445
000520,上银新兴价值成长混合A,混合型,混合型-灵活,99.0647,98.5275,95.8896,92.0741,91.2387,88.7375,82.93315275948761,74.97826379743805
002335,汇丰晋信大盘波动股票C,股票型,股票型,93.1282,94.9704,95.878,94.1088,91.9354,87.6898,83.49828333703887,75.17445079612115
540006,汇丰晋信大盘股票A,股票型,股票型,92.9726,95.0512,95.8776,94.4442,92.6732,89.2501,83.20967872962665,77.16531485693763
270041,广发消费品精选混合A,混合型,混合型-偏股,97.3797,96.3097,95.8739,94.7891,92.8797,90.3386,85.40392887072224,74.4293218005507
000311,景顺长城沪深300指数增强A,指数型,指数型-股票,91.4402,94.3905,95.8675,93.3226,91.6746,88.4307,82.24263951360503,74.38932868430504
002160,南方驱动混合,混合型,混合型-灵活,93.6071,94.1668,95.8548,94.1228,91.6032,90.8622,86.49806100460057,78.25668921345624
540009,汇丰晋信消费红利股票,股票型,股票型,96.594,95.8705,95.8365,94.8929,92.7391,90.4013,85.88066092592909,75.59884921585059
210004,金鹰稳健成长混合,混合型,混合型-偏股,99.165,98.639,95.8353,91.576,90.1577,88.5269,85.57661062749055,77.04013528073746
020001,国泰金鹰增长混合,混合型,混合型-灵活,97.7149,96.0171,95.8252,92.6869,90.6463,88.1663,85.50200099194471,76.70530049084161
001044,嘉实新消费股票A,股票型,股票型,94.7115,95.4021,95.8234,95.3643,93.1614,91.0772,86.04377597441466,75.48122680474081
001420,南方大数据300A,指数型,指数型-股票,93.8525,95.4028,95.8002,92.6871,90.8382,87.756,82.5808948025517,79.06003082724769
161225,国投瑞银瑞盈混合(LOF)A,混合型,混合型-灵活,98.1115,96.484,95.7706,94.9397,92.4819,91.0886,86.87752261804997,78.64861427032204
001623,兴业国企改革混合A,混合型,混合型-灵活,95.2248,95.9573,95.7616,94.1933,91.6278,90.4162,86.07231576336987,76.6572264455884
630006,华商产业升级混合,混合型,混合型-偏股,98.9525,97.1769,95.7504,93.2822,90.6725,88.8884,84.17228198594175,75.71542409912607
001426,南方大数据300C,指数型,指数型-股票,93.7627,95.3497,95.7328,92.6218,90.764,87.6699,82.45604658719708,78.90668023464625
020010,国泰金牛创新成长混合,混合型,混合型-偏股,94.9943,95.765,95.6954,92.6591,91.5628,88.9629,84.48461630551898,77.54624087154316
020015,国泰区位优势混合A,混合型,混合型-偏股,95.4358,95.8929,95.695,93.915,91.3907,89.962,86.57865651348531,77.67920208308392
002168,嘉实智能汽车股票,股票型,股票型,98.3464,96.1309,95.6939,93.654,92.5169,90.6864,86.05649595525986,77.64044355321441
000418,景顺长城成长之星股票A,股票型,股票型,97.9079,97.1724,95.6883,94.2831,92.5896,91.2121,86.67052898017822,77.84852747515863
001437,易方达瑞享混合I,混合型,混合型-灵活,97.1313,93.2217,95.6872,93.2983,91.0374,89.191,88.00334781344598,81.25628516700587
000985,嘉实逆向策略股票,股票型,股票型,95.2532,95.8091,95.6861,93.9793,92.5397,90.1968,86.21170109969044,75.90704686938824
001438,易方达瑞享混合E,混合型,混合型-灵活,97.1103,93.1986,95.6722,93.2799,91.0136,89.1665,87.9764648287185,81.20458218604094
165525,中信保诚中证基建工程指数(LOF)A,指数型,指数型-股票,89.8794,93.4455,95.6662,90.3016,89.6067,85.4612,82.77313753826684,74.47919160780557
260103,景顺长城动力平衡混合,混合型,混合型-灵活,96.3501,96.6277,95.6498,94.2259,92.2559,89.5473,85.08293641292265,74.54963785466299
540012,汇丰晋信恒生龙头指数A,指数型,指数型-股票,89.9093,93.5966,95.643,93.7059,92.229,88.8046,83.37156453626585,74.55001197174667
519677,银河定投宝,指数型,指数型-股票,96.8694,95.8204,95.6258,91.9318,90.2629,88.0057,84.71913427169024,77.13665748832754
260116,景顺长城核心竞争力混合A,混合型,混合型-偏股,95.4582,96.187,95.6142,94.4283,92.4771,88.5415,84.68888423320962,76.82277325511792
000948,华夏沪港通恒生ETF联接A,指数型,指数型-股票,96.4309,96.8716,95.6086,93.8346,92.647,88.8571,83.23559969899608,77.04885220878727
001149,汇丰晋信恒生龙头指数C,指数型,指数型-股票,89.8255,93.5517,95.6015,93.6649,92.1753,88.6918,83.2233607258299,74.29796929246977
160607,鹏华价值优势混合(LOF),混合型,混合型-偏股,94.9689,95.2577,95.5963,93.7517,91.507,88.9531,83.55659215679567,74.27563450257392
160613,鹏华盛世创新混合(LOF)A,混合型,混合型-偏股,97.4695,95.9955,95.5936,92.802,91.9864,88.9919,83.871331514768,76.1659733030049
530015,建信深证基本面60ETF联接A,指数型,指数型-股票,90.3807,93.5607,95.5903,94.7981,93.2089,89.7507,83.66161216671513,73.42605201723931
001104,华安新丝路主题股票A,股票型,股票型,90.0709,93.3991,95.5903,92.6314,91.5926,90.8492,83.55151485351712,74.83639859930564
001015,华夏沪深300指数增强A,指数型,指数型-股票,92.6179,94.7025,95.5888,93.9866,92.2913,88.8398,83.81008320363942,75.14508260505207
410009,华富量子生命力混合A,混合型,混合型-偏股,98.5888,98.0441,95.5858,91.6235,89.5919,87.2707,81.46004001983889,77.72566742487729
260101,景顺长城优选混合,混合型,混合型-偏股,97.8556,97.2615,95.5821,94.8593,91.6829,89.3553,85.83175847856202,76.66856219322399
160512,博时卓越品牌混合(LOF)A,混合型,混合型-偏股,98.2207,97.881,95.5611,90.5563,89.7706,89.1045,83.22138324981616,73.57248144379265
110003,易方达上证50增强A,指数型,指数型-股票,93.3392,94.615,95.56,94.6896,93.5722,89.8562,83.9521942501411,74.44159284089548
519196,万家新兴蓝筹A,混合型,混合型-灵活,90.0425,93.6632,95.5592,92.8959,90.2241,88.9902,85.5018941013494,79.80635699748593
001048,富国新兴产业股票A,股票型,股票型,97.0864,97.1717,95.5581,94.2958,91.8183,89.3099,86.6545488361752,81.33043517299174
001445,华安国企改革主题灵活配置混合A,混合型,混合型-灵活,98.1279,95.4028,95.5574,93.8134,92.6248,91.395,87.4160374373621,76.32302765473483
050018,博时行业轮动混合,混合型,混合型-偏股,98.2761,97.5226,95.5536,94.0194,92.1647,89.7008,85.4879448786578,76.18408056985514
